subject,description,searched,problem
Creating a filter for my tables,I'm trying to filter the data in my table based on certain criteria but am not sure the best way to go about doing what I want. Looked into Ransack but not sure if its the right solution to my problem,google,just looking for some guidance
Violating Not Null constraint,"I am trying to put uniqueness constraint on two columns instead of just one. These are the code I implemented:

Schema:
add_index ""cities"", [""name"", ""zip_code""], name: ""index_cities_on_name_and_zip_code"", unique: true, using: :btree

city.rb
validates :name, uniqueness: {scope: :zip_code}

city_spec.rb test:
it {should validate_uniqueness_of(:name).scoped_to(:zip_code)}

The test keeps failing and the error I got is that I violated a not null constraint by setting uniqueness on two columns in the table. Why? I checked everywhere and I can't figure out why
",Pretty much everything about multi-column unique constraint in Rails,Not really sure.
Devise Sign In help,My user is unable to authenticate a sign in form with their username and password. ,"Devise Wiki, stackoverflow, Dan Greenberg","It has something to do with my username field. I've exhausted my list of potential problems. I've customized the initializer file in devise, I've customized the devise yaml file for the message and I've saved and open page and binding.pry to make sure my fields are passing. Also, I've made sure that my files are consistent and that there are no syntax errors. I don't know what is the problem and I've already wasted so much time trying to figure this out. Help would be greatly appreciated."
Controller and Model Methods//Factory Girl Error,Undefined method for a model being called in another model's view.,"Apollo, gem documents","I may be missing some type of initialization for the method in the controller?

Factory Girl is returning with an error of Factory not registered."
heroku problem,I was able to deploy the app but I keep error message when I interact with it.,heroku help center,There is a difference between the development state and regular state.
simple form error messages,"not sure why my form doesn't display the error message, seems to resemble others that it works for?","simple form docs, stackoverflow, github",unsure
"cannot use test DB, app thinks it's being used by another user","when I try to run tests or rake:

PG::ObjectInUse: ERROR:  database ""mixy_test"" is being accessed by other users
DETAIL:  There is 1 other session using the database.",stackoverflow,?
Devise Sign Up Configuration,"I'm trying to pass my acceptance test for sign up and sign out, but they are failing because the fields are blank.",Searched the Devise Wiki and active record routing/validations,"At this point, I have no idea. Placing a binding.pry tells me that the fields are being filled in. There's no reason why it should be blank. Additionally. I am having HUGE problems with routing. I'm trying to get an unauthenticated user to go to a different root path while an authenticated user go to a seperate index page. This is not working as well."
Omniauth,"Getting error ```OAuth::Unauthorized```
","Stack Overflow, google","I read that I just need to set a specific callback url, but twitter won't let me use http://localhost3000 as my callback url. Not sure if there's another problem or if there's some other sneaky solution??"
Custom Routing & Cleaning Nav Bar,Working on customizing routes in rails engines. Also foundation navbar flyout/dropdown isn't functioning properly.,"Devise routing, railscasts, foundation",Why does calling new_user_session_path in application controller yield different results based on current page? When do we pass arguments into routing calls? 
redirects after a failed 'post' for the child in nested resources,"not sure how to redirect back to the form, in a complex, hidden list view format?","past code, google","has to direct to more than just a path, has to go to a specific part of page"
body background image using foundation,"Trying to set a body background image in foundation, cannot get app to render the image.",http://foundation.zurb.com/forum/posts/1601-adding-a-body-background-image,"I am seeing conflicting reports on the root location rails uses to reference image assets.  Im assuming this may be a filepath issue, but none of the filepath changes have rendered th image either."
Treasure Hunter game keeps redirecting to index page,http://bjorn-linder.herokuapp.com/treasure-hunter,http://static.fjcdn.com/gifs/I+have+No+Idea+what+I+m+doing_9a2f5f_3220475.gif,See gif above.
Nested resources,"I have many questions about nested routes, specifically on the controller. 

The nested routes are
resources :categories do
    resources :ads
end

In AdsController, I defined ""new"" and ""create"" actions like this:

def new
    @category = Category.find(params[:category_id])
    @ad = Ad.new
  end

  def create
    @category = Category.find(params[:category_id])
    @ad = @category.ads.build(ad_params)

    if @ad.save
      redirect_to new_category_ad_path, notice: ""Your ad is posted. Good luck!""
    else
      render 'new'
    end

  end

  private
  def ad_params
    params.require(:ad).permit(:title, :detail, :contact, :category_id, :city_id).merge(user_id: current_user.id)
  end

I don't think this is correct because ad isn't getting created when I ran the test. 
Secondly I also have question about the way I wrote the strong params. I feel like it's NOT secure to list category_id and city_id in there because anyone can hack them by using different values. So I am not sure what is the best way to handle this. 

Lastly in my new.htm.erb page for creating a new ad:

<%= simple_form_for [@category, @ad] do |f| %>
  <%= f.association :category, label_method: :name, value_method: :id, include_blank: true, required: true %>
  <%= f.association :city, label_method: :name, value_method: :id, include_blank: true, required: true%>
  <%= f.input :title, required: true %>
  <%= f.input :detail, required: true %>
  <%= f.input :contact, label: ""Best Way to Contact Me"" %>
  <%= f.submit %>
<% end %>

My question is if it's correct to pass in [@category, @ad]? And since a new ad belongs to a category AND city, am I using the association on this form correctly? 

","I tried to read up the nested resources material provided in Apollo and did some search outside. Just a fyi, the railscast video on Nested Resources is very outdated. It was made in 2008.",Just a lot of confusion over nested resources... 
